Initialising login role...
Connecting to remote database...

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260415000000 | 20260415000000 | 2026-04-15 00:00:00 
   20260415022321 | 20260415022321 | 2026-04-15 02:23:21 
   20260415023315 | 20260415023315 | 2026-04-15 02:33:15 
   20260415024023 | 20260415024023 | 2026-04-15 02:40:23 
   20260415024037 | 20260415024037 | 2026-04-15 02:40:37 
   20260415024642 | 20260415024642 | 2026-04-15 02:46:42 
   20260415121710 | 20260415121710 | 2026-04-15 12:17:10 
   20260415135647 | 20260415135647 | 2026-04-15 13:56:47 
   20260416021144 | 20260416021144 | 2026-04-16 02:11:44 
   20260417131422 | 20260417131422 | 2026-04-17 13:14:22 
   20260418151522 | 20260418151522 | 2026-04-18 15:15:22 
   20260418151851 | 20260418151851 | 2026-04-18 15:18:51 
   20260419034855 | 20260419034855 | 2026-04-19 03:48:55 
   20260419035852 | 20260419035852 | 2026-04-19 03:58:52 
   20260420000316 | 20260420000316 | 2026-04-20 00:03:16 
   20260422015338 | 20260422015338 | 2026-04-22 01:53:38 
   20260422021255 | 20260422021255 | 2026-04-22 02:12:55 
   20260422235900 | 20260422235900 | 2026-04-22 23:59:00 
   20260423004000 | 20260423004000 | 2026-04-23 00:40:00 
   20260423012000 | 20260423012000 | 2026-04-23 01:20:00 
   20260423014500 | 20260423014500 | 2026-04-23 01:45:00 
   20260425194954 | 20260425194954 | 2026-04-25 19:49:54 
   20260425204201 | 20260425204201 | 2026-04-25 20:42:01 
   20260425204202 | 20260425204202 | 2026-04-25 20:42:02 
   20260425204203 | 20260425204203 | 2026-04-25 20:42:03 
   20260425204204 | 20260425204204 | 2026-04-25 20:42:04 
   20260426100000 | 20260426100000 | 2026-04-26 10:00:00 
   20260426100001 | 20260426100001 | 2026-04-26 10:00:01 
   20260426100002 | 20260426100002 | 2026-04-26 10:00:02 
   20260426100003 | 20260426100003 | 2026-04-26 10:00:03 
   20260426100004 | 20260426100004 | 2026-04-26 10:00:04 
   20260427143000 | 20260427143000 | 2026-04-27 14:30:00 
   20260427143100 | 20260427143100 | 2026-04-27 14:31:00 
   20260427150000 | 20260427150000 | 2026-04-27 15:00:00 
   20260429120000 | 20260429120000 | 2026-04-29 12:00:00 
   20260502000000 | 20260502000000 | 2026-05-02 00:00:00 
   20260502000001 | 20260502000001 | 2026-05-02 00:00:01 
   20260502000002 | 20260502000002 | 2026-05-02 00:00:02 
   20260503000000 | 20260503000000 | 2026-05-03 00:00:00 
   20260504000001 | 20260504000001 | 2026-05-04 00:00:01 
   20260506000001 | 20260506000001 | 2026-05-06 00:00:01 
   20260508000001 | 20260508000001 | 2026-05-08 00:00:01 
   20260508000002 | 20260508000002 | 2026-05-08 00:00:02 
   20260512000001 | 20260512000001 | 2026-05-12 00:00:01 
   20260512000002 | 20260512000002 | 2026-05-12 00:00:02 
   20260512000003 | 20260512000003 | 2026-05-12 00:00:03 
   20260512000004 | 20260512000004 | 2026-05-12 00:00:04 
   20260513000001 | 20260513000001 | 2026-05-13 00:00:01 
   20260513000002 | 20260513000002 | 2026-05-13 00:00:02 
   20260513000003 | 20260513000003 | 2026-05-13 00:00:03 
   20260514000001 | 20260514000001 | 2026-05-14 00:00:01 
   20260517000001 | 20260517000001 | 2026-05-17 00:00:01 
   20260517000002 | 20260517000002 | 2026-05-17 00:00:02 

A new version of Supabase CLI is available: v2.98.2 (currently installed v2.90.0)
We recommend updating regularly for new features and bug fixes: https://supabase.com/docs/guides/cli/getting-started#updating-the-supabase-cli
